id,lat,long
340, 56.409613666666665, 40.97564051666667
341, 56.40941248333334, 40.97592808333333
342, 56.40941248333334, 40.97592808333333
344, 56.409613666666665, 40.97564051666667
345, 56.409613666666665, 40.97564051666667
346, 56.409613666666665, 40.97564051666667
347, 56.409613666666665, 40.97564051666667
348, 56.409613666666665, 40.97564051666667
349, 56.409613666666665, 40.97564051666667
350, 56.409613666666665, 40.97564051666667
351, 56.409613666666665, 40.97564051666667
359, 56.40961359999999, 40.97564055000001
360, 56.40961359999999, 40.97564055000001
361, 56.40961363333333, 40.97564056666666
362, 56.40961363333333, 40.97564056666666
363, 56.40961359999999, 40.97564058333333
364, 56.40961354999999, 40.9756406
365, 56.40961354999999, 40.9756406
366, 56.409613499999985, 40.97564061666667
367, 56.409612383333325, 40.97564061666667
368, 56.409612383333325, 40.97564061666667
369, 56.409612383333325, 40.97564058333333
370, 56.4096124, 40.97564056666666
371, 56.40961348333333, 40.975640633333335
372, 56.4096124, 40.97564056666666
373, 56.40961211666666, 40.975640883333334
374, 56.40961348333333, 40.975640633333335
375, 56.409612083333336, 40.975640866666666
376, 56.40961343333334, 40.975640633333335
377, 56.40961341666666, 40.975640633333335
378, 56.40961341666666, 40.975640633333335
379, 56.40961335, 40.975640633333335
380, 56.40961313333334, 40.9756406
381, 56.40961313333334, 40.9756406
382, 56.40961333333333, 40.975640633333335
383, 56.40961356666667, 40.97564065
384, 56.40961356666667, 40.97564065
385, 56.40961343333334, 40.9756406
386, 56.409613166666674, 40.975640533333326
387, 56.409613166666674, 40.975640533333326
388, 56.40961314999999, 40.97564058333333
389, 56.40961314999999, 40.97564058333333
390, 56.40961298333334, 40.97564056666666
391, 56.40961278333332, 40.97564056666666
392, 56.40961278333332, 40.97564056666666
393, 56.409612816666666, 40.97564056666666
394, 56.4096128, 40.97564056666666
395, 56.4096128, 40.97564056666666
396, 56.40961285, 40.97564056666666
397, 56.4096129, 40.97564058333333
398, 56.4096129, 40.97564058333333
399, 56.4096128, 40.97564058333333
400, 56.409612816666666, 40.97564056666666
401, 56.409612816666666, 40.97564056666666
402, 56.40961273333334, 40.97564058333333
403, 56.40961260000001, 40.97564056666666
404, 56.40961260000001, 40.97564056666666
405, 56.409612683333336, 40.97564058333333
406, 56.40961260000001, 40.97564058333333
407, 56.40961260000001, 40.97564058333333
408, 56.409612450000004, 40.9756406
409, 56.40961253333334, 40.9756406
410, 56.40961253333334, 40.9756406
411, 56.4096125, 40.97564058333333
412, 56.40961241666667, 40.9756406
413, 56.40961241666667, 40.9756406
414, 56.409612083333336, 40.975640866666666
415, 56.40961213333334, 40.975640866666666
416, 56.409611250000005, 40.97564221666667
417, 56.409611250000005, 40.97564221666667
418, 56.40961133333333, 40.975642183333335
419, 56.409611349999984, 40.97564211666667
420, 56.409611349999984, 40.97564211666667
421, 56.40961158333333, 40.9756422
422, 56.40961156666667, 40.97564213333333
423, 56.40961156666667, 40.97564213333333
424, 56.40961158333333, 40.97564216666667
425, 56.40961226666667, 40.9756409
426, 56.40961226666667, 40.9756409
427, 56.40961303333333, 40.97564021666667
428, 56.40961308333333, 40.975640166666665
429, 56.40961308333333, 40.975640166666665
430, 56.40961311666667, 40.97564006666667
431, 56.40961311666667, 40.97564006666667
432, 56.40961311666667, 40.97564006666667
433, 56.40961311666667, 40.97564006666667
434, 56.40961311666667, 40.97564006666667
435, 56.40961311666667, 40.97564006666667
436, 56.40961311666667, 40.97564006666667
437, 56.40961311666667, 40.97564006666667
438, 56.409580549999994, 40.975687416666666
439, 56.40961309999999, 40.97564006666667
440, 56.40961309999999, 40.97564006666667
441, 56.40961263333333, 40.97564033333333
442, 56.40961263333333, 40.97564033333333
443, 56.409612383333325, 40.97564078333333
444, 56.40961228333334, 40.975640766666665
445, 56.40961228333334, 40.975640766666665
446, 56.40961220000001, 40.97564078333333
447, 56.40961216666666, 40.97564083333334
448, 56.409611766666664, 40.97564100000001
449, 56.409611766666664, 40.97564100000001
450, 56.409608083333325, 40.97564176666667
451, 56.409607083333334, 40.97564216666667
452, 56.40960546666666, 40.975642533333335
453, 56.40960546666666, 40.975642533333335
454, 56.40960355000001, 40.97564298333334
455, 56.409602916666664, 40.975643116666674
456, 56.40960239999999, 40.97564321666667
457, 56.40960239999999, 40.97564321666667
458, 56.40960185000001, 40.975643016666666
459, 56.40960171666667, 40.975643116666674
460, 56.40960140000001, 40.97564323333334
461, 56.40960135, 40.975643250000005
462, 56.40960135, 40.975643250000005
463, 56.40960135, 40.975643250000005
464, 56.40960135, 40.975643250000005
465, 56.40960135, 40.975643250000005
466, 56.40960135, 40.975643250000005
467, 56.40960135, 40.975643250000005
468, 56.40960135, 40.975643250000005
469, 56.40953228333333, 40.97575848333334
553, 56.411460133333335, 40.97597916666667
554, 56.411460133333335, 40.97597916666667
555, 56.411460133333335, 40.97597916666667
556, 56.4114807, 40.97593858333333
557, 56.4114807, 40.97593858333333
558, 56.4114807, 40.97593858333333
559, 56.411499166666665, 40.97590651666666
560, 56.411499166666665, 40.97590651666666
561, 56.41151588333334, 40.975881783333335
562, 56.41151588333334, 40.975881783333335
563, 56.41151588333334, 40.975881783333335
564, 56.41151588333334, 40.975881783333335
565, 56.41153228333332, 40.97585851666667
566, 56.41153228333332, 40.97585851666667
567, 56.41153228333332, 40.97585851666667
568, 56.41153228333332, 40.97585851666667
569, 56.41168088333334, 40.97558455
570, 56.41168088333334, 40.97558455
571, 56.41168088333334, 40.97558455
572, 56.41169216666667, 40.97558603333334
573, 56.41169216666667, 40.97558603333334
